Mauna Loa,CO2 Dates,South Pole,Heat Content,Heat Content Dates,+2 Standard Error,-2 Standard Error,Temperature Anomaly,Temperature Dates,trace6,trace7,trace8,trace9,trace10
315.71,1958-03-01,314.32,-5.84615384615,1960-3-20,-2.1538461538461533,-9.538461538461547,30.974358974358985,1960-11-19,32.512820512820525,29.641025641025653,-0.10956521739130443,-0.04173913043478272,0.03652173913043466
317.45,1958-04-01,314.47,-4.92307692308,1962-2-15,-1.4358974358974308,-8.205128205128204,32.512820512820525,1961-11-10,34.15384615384616,31.076923076923087,-0.036521739130435105,0.0417391304347825,0.13043478260869557
317.50,1958-05-01,314.61,-7.28205128205,1964-12-29,-4.000000000000007,-10.769230769230774,32.30769230769232,1962-11-16,33.74358974358975,30.76923076923078,-0.052173913043478404,0.02608695652173898,0.09913043478260852
317.10,1958-06-01,314.73,-8.41025641026,1965-12-3,-5.435897435897445,-12,32.82051282051283,1963-10-31,34.35897435897437,31.076923076923087,-0.036521739130435105,0.05217391304347818,0.1356521739130434
315.86,1958-07-01,314.85,-9.53846153846,1968-2-1,-6.666666666666671,-12.410256410256409,27.5897435897436,1964-10-3,29.12820512820514,26.05128205128206,-0.2921739130434784,-0.2086956521739134,-0.1304347826086958
314.93,1958-08-01,314.94,-9.12820512821,1969-1-14,-6.358974358974365,-11.487179487179489,30.461538461538474,1966-11-6,32.102564102564116,28.820512820512832,-0.15130434782608715,-0.06782608695652192,0.02086956521739114
313.20,1958-09-01,315.03,-6.76923076923,1971-1-18,-4.307692307692314,-9.538461538461547,30.25641025641027,1967-11-12,31.89743589743591,28.71794871794873,-0.15652173913043477,-0.07826086956521738,0.005217391304347618
312.66,1958-10-01,315.12,-6.15384615385,1972-1-29,-3.2820512820512846,-8.512820512820525,29.846153846153857,1968-10-20,31.282051282051295,28.307692307692317,-0.17739130434782635,-0.10434782608695659,-0.026086956521739202
313.33,1958-11-01,315.2,-4.92307692308,1973-2-13,-2.461538461538467,-7.282051282051285,32.30769230769232,1969-11-12,33.74358974358975,30.871794871794883,-0.04695652173913056,0.03130434782608682,0.09913043478260852
314.67,1958-12-01,315.28,-4.51282051282,1974-3-22,-1.948717948717956,-6.974358974358978,31.384615384615394,1970-11-14,32.82051282051283,29.846153846153857,-0.09913043478260897,-0.03130434782608704,0.05739130434782602
315.62,1959-01-01,315.36,-2.87179487179,1975-5-5,-0.2051282051282044,-5.2307692307692335,28.410256410256423,1971-10-6,29.846153846153857,26.97435897435898,-0.24521739130434805,-0.16695652173913067,-0.0939130434782609
316.38,1959-02-01,315.44,-1.23076923077,1977-4-7,1.2307692307692264,-3.589743589743591,32.923076923076934,1973-11-18,34.25641025641027,31.282051282051295,-0.026086956521739202,0.05217391304347818,0.13043478260869557
316.71,1959-03-01,315.53,0.205128205128,1979-4-4,2.564102564102569,-1.948717948717956,27.89743589743591,1974-10-23,29.230769230769244,26.46153846153847,-0.27130434782608726,-0.1982608695652175,-0.12521739130434795
317.72,1959-04-01,315.6,-0.615384615385,1980-5-2,1.435897435897438,-2.974358974358978,28.820512820512832,1975-10-10,30.25641025641027,27.384615384615394,-0.2243478260869567,-0.15130434782608715,-0.07304347826086977
318.29,1959-05-01,315.67,-0.717948717949,1981-4-12,1.3333333333333286,-2.974358974358978,27.28205128205129,1976-10-6,28.71794871794873,25.846153846153854,-0.3026086956521741,-0.21913043478260885,-0.15652173913043477
318.15,1959-06-01,315.73,-0.410256410256,1982-3-26,1.7435897435897374,-2.564102564102562,32.61538461538463,1977-11-18,34.051282051282065,31.282051282051295,-0.026086956521739202,0.04695652173913034,0.11999999999999988
316.54,1959-07-01,315.78,-0.923076923077,1983-3-30,1.2307692307692264,-2.974358974358978,30.871794871794883,1978-11-14,32.30769230769232,29.538461538461547,-0.11478260869565249,-0.052173913043478404,0.03130434782608682
314.80,1959-08-01,315.83,-0.410256410256,1984-4-8,1.53846153846154,-2.358974358974365,32.923076923076934,1979-11-8,34.461538461538474,31.692307692307704,-0.005217391304348062,0.06260869565217386,0.1356521739130434
313.84,1959-09-01,315.87,-0.102564102564,1985-8-29,1.7435897435897374,-1.8461538461538538,33.64102564102565,1980-11-19,35.2820512820513,32.20512820512822,0.02086956521739114,0.08869565217391306,0.1773913043478259
313.26,1959-10-01,315.91,0.615384615385,1987-4-11,2.3589743589743577,-1.1282051282051313,34.564102564102576,1981-12-3,36.102564102564116,33.025641025641036,0.06260869565217386,0.1356521739130434,0.22434782608695625
314.80,1959-11-01,315.94,0.410256410256,1988-8-27,1.948717948717949,-1.4358974358974308,32.20512820512822,1982-11-24,33.948717948717956,30.974358974358985,-0.04173913043478272,0.02086956521739114,0.1095652173913042
315.58,1959-12-01,315.99,0.205128205128,1990-4-2,1.7435897435897374,-1.3333333333333357,35.3846153846154,1983-12-23,36.923076923076934,33.74358974358975,0.09913043478260852,0.1878260869565216,0.2556521739130433
316.43,1960-01-01,316.03,2.76923076923,1991-5-23,4.102564102564102,1.53846153846154,31.79487179487181,1984-11-9,33.12820512820514,30.05128205128206,-0.08869565217391329,-0.005217391304348062,0.07826086956521738
316.97,1960-02-01,316.09,3.79487179487,1992-6-5,5.025641025641029,2.6666666666666714,31.384615384615394,1985-11-13,32.82051282051283,29.94871794871796,-0.0939130434782609,-0.020869565217391584,0.05739130434782602
317.58,1960-03-01,316.15,3.38461538462,1994-5-22,4.307692307692307,2.2564102564102555,32.71794871794873,1986-11-3,33.948717948717956,31.17948717948719,-0.03130434782608704,0.0417391304347825,0.11478260869565204
319.02,1960-04-01,316.2,4.51282051282,1995-6-6,5.435897435897438,3.487179487179489,35.4871794871795,1987-12-25,37.025641025641036,33.84615384615386,0.10434782608695659,0.1878260869565216,0.26608695652173897
320.03,1960-05-01,316.27,5.02564102564,1997-4-30,6.358974358974358,3.6923076923076934,35.79487179487181,1988-12-7,37.23076923076924,34.15384615384616,0.11999999999999988,0.2034782608695651,0.2817391304347825
319.59,1960-06-01,316.33,6.15384615385,1998-5-15,7.794871794871803,4.61538461538462,34.461538461538474,1989-12-5,36.102564102564116,33.025641025641036,0.06260869565217386,0.13043478260869557,0.2139130434782608
318.18,1960-07-01,316.39,6.25641025641,1999-5-23,8,4.61538461538462,37.43589743589745,1991-1-1,39.076923076923094,36.20512820512822,0.22434782608695625,0.28695652173913033,0.37043478260869556
315.91,1960-08-01,316.45,9.12820512821,2002-5-10,10.15384615384616,8.512820512820511,36.82051282051283,1991-12-9,38.46153846153848,35.3846153846154,0.18260869565217397,0.25043478260869545,0.33913043478260874
314.16,1960-09-01,316.5,9.94871794872,2003-6-18,10.666666666666671,9.435897435897438,33.948717948717956,1992-11-26,35.79487179487181,32.41025641025642,0.03130434782608682,0.1095652173913042,0.20869565217391295
313.83,1960-10-01,316.56,11.5897435897,2004-6-9,12,11.07692307692308,35.69230769230771,1994-11-26,37.33333333333334,34.15384615384616,0.11999999999999988,0.2034782608695651,0.2817391304347825
315.00,1960-11-01,316.61,12.4102564103,2006-7-26,12.820512820512825,11.794871794871803,38.051282051282065,1996-1-14,39.589743589743605,36.30769230769232,0.2295652173913043,0.31304347826086953,0.4017391304347825
316.19,1960-12-01,316.67,12.6153846154,2007-8-30,13.025641025641029,12.205128205128212,35.589743589743605,1997-1-4,37.23076923076924,34.051282051282065,0.11478260869565204,0.19304347826086943,0.2817391304347825
316.93,1961-01-01,316.72,13.3333333333,2008-6-22,13.641025641025642,12.820512820512825,41.84615384615386,1999-1-8,43.4871794871795,40.102564102564116,0.42260869565217385,0.506086956521739,0.5947826086956521
317.70,1961-02-01,316.78,,,,,37.84615384615386,1999-12-19,39.4871794871795,36.102564102564116,0.21913043478260863,0.3078260869565217,0.3913043478260869
318.54,1961-03-01,316.83,,,,,37.64102564102566,2001-1-20,39.3846153846154,36.000000000000014,0.2139130434782608,0.297391304347826,0.38086956521739124
319.48,1961-04-01,316.88,,,,,40.30769230769232,2002-1-18,42.15384615384617,38.666666666666686,0.3495652173913043,0.4278260869565216,0.5217391304347825
320.58,1961-05-01,316.93,,,,,41.43589743589745,2003-2-2,43.1794871794872,39.69230769230771,0.4017391304347825,0.49043478260869555,0.5791304347826086
319.77,1961-06-01,316.99,,,,,41.538461538461554,2003-12-19,43.2820512820513,39.69230769230771,0.4017391304347825,0.4956521739130434,0.5895652173913043
318.57,1961-07-01,317.04,,,,,40.61538461538463,2005-1-15,42.25641025641027,38.97435897435899,0.3652173913043478,0.44869565217391294,0.537391304347826
316.79,1961-08-01,317.09,,,,,42.25641025641027,2006-2-2,44.000000000000014,40.512820512820525,0.4434782608695651,0.5321739130434782,0.6208695652173912
314.80,1961-09-01,317.15,,,,,41.43589743589745,2007-2-4,43.2820512820513,39.79487179487181,0.40695652173913044,0.4956521739130434,0.5843478260869566
315.38,1961-10-01,317.21,,,,,41.43589743589745,2007-12-20,42.87179487179489,39.69230769230771,0.4017391304347825,0.4852173913043478,0.568695652173913
